section,sent.no,filename,sentences,neutral,generalization,exemplification,attribution,conditional,ID
e,189,nlh.47.4.643673_nonotes.txt,"That is, insofar as the day ends without ending us, and is thus a place from which we can and often do look back, it also prompts consideration of what may lie ahead.",1,0,0,0,0,42
b,273,modernismmodernity.2016.23.1.219_nonotes.txt,"Then one of the books came to me late, and like most academics I read slowly and think slower.",0,1,0,0,0,43
b,267,modernismmodernity.2016.23.3.555_nonotes.txt,"The human has been formed through dehumanization-dialectically. The present dilemma or contradiction of life under capitalism is thus that ""what makes each of us a human being also turns that human being into something inhuman"" (Lefebvre, Critique, ).",0,1,0,0,0,44
b,207,ahr.2016.121.2.437_nonotes.txt,"Leave out the details—that the language she spoke was Japanese, the clothes she traded were silk crepe and cotton kimono, the currency she received in return was ryō, and the quote in her brother’s letter was from the Classic of Filial Piety—and she might be English, French, Swedish, or Italian.",1,0,0,0,0,45
b,252,asr.2016.81.6.1161_nonotes.txt,"To foreshadow our findings, we find that one aspect of this privilege, their higher rates of return to experience, has a price—a higher proportionate wage penalty for motherhood.",0,1,0,0,0,46
e,219,nlh.47.2.631304_nonotes.txt,Latour’s critique of the anthropocentrism of Kant’s thinking uses the metaphor-concept of colonization to create agential space for the non-human.,1,0,0,0,0,47
b,189,sr.55.3.04_nonotes.txt,"Modern scholarship, it seems, has reached a caveat with regard to the question of whether the period's culture was predominantly a sociable or a textual one.",0,1,0,0,0,48
e,174,ahr.2016.121.2.403_nonotes.txt,Horizontal mills could take more power from a steam engine than was possible with the traditional wind- or water-driven vertical three-roller mills.,1,0,0,0,0,49
b,183,ahr.2016.121.2.492_nonotes.txt,"That planner, however, was not a godlike figure standing above humanity, but rather a link in a feedback loop—constantly responding to the desires and needs of the ordinary people who populated housing developments.",1,0,0,0,0,50
b,174,modernismmodernity.2016.23.2.341_nonotes.txt,"But we have seen it too, and the effect of the scene rests to a considerable extent on the suggestion of Fantômas's fantastic power to be everywhere at once (to the point of taking over other people's identities, bodies, or minds).",1,0,0,0,0,51
e,198,ahr.2016.121.1.70_nonotes.txt,The Mediterranean is still a sea.,1,0,0,0,0,52
b,222,nlh.47.2.631303_nonotes.txt,"Does the use of digital methods in the humanities represent an incursion across battle lines that demands countermeasures, a defense of humanistic inquiry from the reductive methods of the natural or social sciences?",1,0,0,0,0,53
e,180,modernismmodernity.2016.23.1.193_nonotes.txt,"The ICA's aspirations to create the ""art of the future"" in postwar Britain were ultimately realized, even if the work of the Independent Group, the Smithsons, and Johnson was hardly what Read initially expected-although that development itself is of a piece with the ICA's founders' assertion that the results of modernist histories of the future are always unknown.",1,0,0,0,0,54
b,354,asr.2016.81.4.617_nonotes.txt,Financial firms achieved record profits between YEAR and YEAR through their involvement with mortgage securitization.,1,0,0,0,0,55
b,270,asr.2016.81.5.981_nonotes.txt,Much of the qualitative scholarship focuses on a symbolic dimension of assimilation by investigating how immigrants and their descendants view themselves in relation to U.S. racial boundaries.,1,0,0,0,0,56
e,180,modernismmodernity.2016.23.3.631_nonotes.txt,At stake in this constellation of texts is the presumed link between modern conceptions of person and point of view-a link to which several of the so-called perceiving entities in these texts remain resolutely unaccountable.,0,1,1,0,0,57
b,291,nlh.47.2.631306_nonotes.txt,The being that is of interest is not the being that the metaphysician establishes through the sovereignty of his or her logical or illogical mind; it is the being that must be saved in conflict situations: being as a diplomatic problem.,0,1,0,0,0,58
e,156,sn.48.4.06_nonotes.txt,"And it does this through its language, its “unpoliced, seditious, inventive, disruptive…” et cetera textual practice that connects everything with anything and everybody with another, regardless of creed, color, or previous condition of servitude or migration status.",1,0,0,0,0,59
e,243,asr.2016.81.4.720_nonotes.txt,Future research may gain leverage by examining the gendered effects of changes in job opportunities in local economies over time due to economic shocks or other sources of exogenous variation.,1,0,0,0,0,60
b,237,sr.55.4.01_nonotes.txt,"The secular alternative that ""Nightingale"" dramatizes Keats takes from his understanding of tragic representation.",0,1,0,0,0,61
b,171,sr.55.2.05_nonotes.txt,"He was especially attuned to the ways that book format shaped audiences and impacted reception, recognizing, on the one hand, the massive reach of the cheap, small-format chapbook, and on the other, the power of expensive, larger-format books like the quarto to restrict audiences.",0,1,0,1,0,62
e,183,ahr.2016.121.2.492_nonotes.txt,Thus consumption was rewritten as fundamentally collective and participatory rather than economic and individual.,0,1,0,0,0,63
b,282,pmla.2016.131.5.1239_nonotes.txt,"This uncertainty emerges most clearly when the text is read back through its translations, as though there is something about translation that dislodges and illuminates the novel's presuppositions about its own conditions of circulation and intelligibility.",1,0,0,0,0,64
e,159,ci.42.4.686959_nonotes.txt,"They are particularly hostile toward the Department of Work and Pensions (DWP) and its neoliberal workfare system (a reform of the British dole) and Jobcentres, with the Minister of the DWP, Iain Duncan Smith, reappearing throughout as a demonic presence, “a talking claw” (LF, p.",1,0,0,0,0,65
e,243,asr.2016.81.4.720_nonotes.txt,"Additionally, our results identify a likely institutional mechanism—school course offerings and course-taking—that contributes to gender disparities in post-high school destinations across communities.",0,1,0,0,0,66
b,162,ahr.2016.121.2.461_nonotes.txt,"Their work must thus be kept at the center of any discussion of indigenous nonverbal communication, even as one looks back toward the sixteenth and seventeenth centuries in search of the earliest-documented instances of Indian sign systems.",1,0,0,0,0,67
b,321,asr.2016.81.4.800_nonotes.txt,"These groups also often live in areas with higher ethnic minority concentrations and deprivation levels, even though residential segregation in the Netherlands is less pronounced than in, for instance, the United States.",1,0,0,0,0,68
b,279,nlh.47.2.631307_nonotes.txt,"Today, anything, it would seem, can be art.",0,1,0,0,0,69
e,201,modernismmodernity.2016.23.1.65_nonotes.txt,"The outdoor dance experiments of automatist Francçoise Sullivan, for example, realized the freedom that her contemporary Tomkins envisioned within physiological feedback loops, which operate on a continuum between the point of ""complete redundancy in which no change is possible and complete randomness in which any change is possible"" (Shame, .)",1,0,0,0,0,70
b,276,asr.2016.81.6.1190_nonotes.txt,"Although this tension is by no means unique to organizations, resolving it is particularly challenging in organizational settings where members are often evaluated for their individual performance, yet their productivity typically depends on interpersonal coordination.",1,0,0,0,0,71
e,177,sr.55.4.03_nonotes.txt,"We might also radically reconsider the links that commentators have noted between ""The Ancient Mariner"" and that other lyrical ballad narrated by a sailor-""The Thorn""-in which the dramatic monologue is deployed to strip away gothic overlay to reveal a core human tragedy.",1,0,0,0,0,72
b,144,ci.42.3.685608_nonotes.txt,"If one wishes to revisit the central tenets of comparative literature as a modern discipline, and if one desires to explore its foundational moment, one needs to revisit this colonial genealogy.",0,1,0,0,0,73
b,273,modernismmodernity.2016.23.1.219_nonotes.txt,"Even more dramatic cultural change underpinned the introduction of rationing (of most household goods, but here clothing) and the accompanying culture of ""make-do and mend.""",1,0,0,0,0,74
b,273,asr.2016.81.3.467_nonotes.txt,"Prior to the onset of corporate restructuring, employment relationships for many blue-collar workers (e.g., production workers) originated from the New Deal paradigm.",0,1,0,0,0,75
e,222,ci.42.3.685605_nonotes.txt,"Deeply rooted in the cultural context from which they arose, the comprehensibility of these film texts to even an Indophile like Seton, had she seen them, would probably have been tenuous at best.",1,0,0,0,0,76
b,306,asr.2016.81.5.1014_nonotes.txt,And how does this gender order interact with racial capitalism?,1,0,0,0,0,77
b,237,sr.55.4.01_nonotes.txt,That much is clear enough from Keats's invocation of the classical tradition as he first describes the heartache occasioned by the music welling about him.,1,0,0,0,0,78
b,336,asr.2016.81.2.347_nonotes.txt,"Second, how does the outcome depend on the pattern and strength of intergroup alliances?",1,0,0,0,0,79
e,207,ci.42.2.684358_nonotes.txt,"For a start, the skill of shifting back and forth between looking at and seeing through that the eighteenth century encourages is precisely the ability to see past the newness of new media, to see through to the digital age’s own past.",0,1,0,0,0,80
b,201,ahr.2016.121.3.824_nonotes.txt,This meaning is inscribed in the sources that make it possible for us to study what happened that week.,0,1,0,0,0,81
b,276,nlh.47.2.631299_nonotes.txt,"Latour praises Serres for not joining in this kind of bisecting, adversarial game.",1,0,0,0,0,82
b,231,ahr.2016.121.4.1167_nonotes.txt,"The fact that prominent historians still disagree, quite vehemently, about what seems a simple point—whether the Nazis persecuted lesbians—raises some interesting questions not just about how the Nazi state responded to lesbianism, but about the Nazi state itself.",1,0,0,0,0,83
e,240,pmla.2016.131.5.1316_nonotes.txt,"Fu plans to tattoo his text on ""the backs of a thousand men""—using mostly transnational migrant Chinese laborers, or coolies, for this purpose .",1,0,0,0,0,84
e,177,ci.43.1.688292_nonotes.txt,"Its origins are rotten; it is the opposite of love; its eloquence is composed of the total falsity it depicts, the entire system itself.",0,1,0,0,0,85
b,255,nlh.47.4.643670_nonotes.txt,His works arrived on the Russian literary scene just as the movement was taking shape; they went on to influence its major exponents and to supply some of its characteristic forms.,1,0,0,0,0,86
e,108,ahr.2016.121.3.780_nonotes.txt,"Scholars may have feared competition, but they recognized the benefits of knowledge exchange.",0,1,0,0,0,87
e,261,asr.2016.81.2.374_nonotes.txt,"Beyond intended projects, collective action mobilized by activists in a market can signal consumer preferences, push untargeted organizations to act, and promote the diffusion of social management devices.",0,1,0,0,0,88
e,180,nlh.47.4.643669_nonotes.txt,"If a widespread acceptance of aesthetic form persisted long after the wave of New Criticism crested, it has dropped out of the most recent discussions of both close reading and formalism, especially from those seeking an alignment of literary studies with sociology.",0,1,0,0,0,89
e,273,modernismmodernity.2016.23.1.219_nonotes.txt,There is something to be said here about how fashion criticism treats its topics.,1,0,0,0,0,90
b,198,sn.48.2.03_nonotes.txt,"Interestingly, rather than modeling the type of solidarity that we might imagine stemming from such a collision, Ask the Dust instead presents us with a cautionary tale of intersecting diasporas: Fante illustrates what occurs when one diasporic community competes for class standing and acceptance into white “majority culture” rather than resisting claims of both white superiority and socioeconomic elitism.",0,1,1,0,0,91
b,192,ci.42.4.686961_nonotes.txt,"In a similar way, Joseph Smith wanted to move heaven and earth by paperwork.",1,0,0,0,0,92
b,285,pmla.2016.131.5.1284_nonotes.txt,Both Grimmelshausen and Saro-Wiwa write out of a postwar context in which a vernacular language extends across a divided regional space without the backing of a state authority.,0,1,0,0,0,93
b,249,ahr.2016.121.1.39_nonotes.txt,"Charmante chose a different tack, surviving the long rebellion through a combination of wits and sheer luck.",1,0,0,0,0,94
b,189,modernismmodernity.2016.23.2.423_nonotes.txt,"There's a sense of disorientation, too, as Mansfield grasps for what is happening to her with a shape-changing metaphor, moving from the vague reference to ""that hard thing in my breast,"" which breaks into ""the smallest fountain.""",1,0,0,0,0,95
b,177,sr.55.4.03_nonotes.txt,"In a brief, seemingly off-the-cuff (and too little-noticed) intervention as far back as YEAR, Lionel Stevenson suggested that the Mariner is the casualty of the ""perversity of storms and calms"" on a ship cast ""hopelessly off its course,"" and that ""the increase in 'allegory' in the latter part of the poem . . . is concurrent with the increasing delirium of the victim.""",1,0,0,0,0,96
e,192,sn.48.2.01_nonotes.txt,"There is not space here to discuss the intrusive voice of postmodern metafiction, which Nünning suggests is the historical point at which metanarrative commentary comes to serve a predominantly illusion-breaking purpose, but I will conclude by venturing a few observations.",0,1,0,1,0,97
b,297,asr.2016.81.5.921_nonotes.txt,I leverage this temporal trend to show that the politicization of fracking led to a compositional change among fracking opponents.,0,1,0,0,0,98
e,213,modernismmodernity.2016.23.2.443_nonotes.txt,"In a letter to Pearson, Richard Aldington, H.D.'s ex-husband, emphasized that H.D. appreciated all of his efforts: I can assure you the ""homage"" at Yale did greatly please her.",1,0,0,0,0,99
b,177,modernismmodernity.2016.23.4.833_nonotes.txt,"Other people may be hell, but they also afford some kind of salvation, however meagre, from the fate of ""La nuit.""",0,1,0,0,0,100
e,303,asr.2016.81.3.447_nonotes.txt,"Besides its social and political costs, the growing inequality dampened effective demand, fostering a structural imbalance of the economy.",0,1,0,0,0,101
b,258,asr.2016.81.2.290_nonotes.txt,Whether immigration increases crime has been a central question in sociology and criminology dating back to the Chicago School.,0,1,0,0,0,102
b,246,asr.2016.81.5.949_nonotes.txt,"Because past work on U.S. nationalism asserts there are distinct modes of national self-understanding, LCA is especially well suited to this research problem.",1,0,0,0,0,103
b,213,modernismmodernity.2016.23.3.611_nonotes.txt,"To make matters less interesting, the broadcast ended before American troops marched to ground zero, what would surely have been a recordable and exciting display of wargame maneuvering.",1,0,0,0,0,104
b,285,ci.43.1.688305_nonotes.txt,"For this reason, and also because of the nonutilitarian functions of these objects, scholars have identified them as liqi or “ritual paraphernalia.”",1,0,0,0,0,105
e,204,nlh.47.2.631300_nonotes.txt,"This also implies that this obligation in relation to oneself and to things is an ethical task that certainly extends to the social scientist as well, when he values and makes more widely known the experience of amateurs.",0,1,0,0,0,106
b,201,nlh.47.2.631301_nonotes.txt,"It flattens the very structure on which critique and criticism rested in order to unveil the (hidden, repressed, underlying, profound) meanings of the texts.",0,1,0,0,0,107
b,216,ahr.2016.121.3.727_nonotes.txt,"Moreover, while some missionaries evangelized or ministered to enslaved populations in Europe and Latin America, others engaged in mission work in parts of sub-Saharan Africa that were under local sovereignty, some of which were ruled by Christian leaders.",1,0,0,0,0,108
b,222,sn.48.3.06_nonotes.txt,"These weirdly familiar vocalizations deserve closer attention from cultural scholars, not just because they threaten to disappear or because their analysis fits into the emerging project of nonhuman studies, but also because this attention yields a more inclusive understanding of novelistic sound.",0,1,0,0,0,109
e,276,asr.2016.81.6.1190_nonotes.txt,"As others have noted, although embeddedness has been a useful construct for rethinking neoclassical economics, it suffers from theoretical vagueness.",0,1,0,0,0,110
e,288,asr.2016.81.4.644_nonotes.txt,Three limitations of this research warrant consideration.,1,0,0,0,0,111
e,216,sr.55.4.05_nonotes.txt,"This is the reality of cognition, as Wordsworth learns from the cross-influences of eighteenth-century theory, material practices, and urban experience; and this is the cognitive realism in which he grounds his narrative of mental growth.",0,1,0,0,0,112
b,219,sr.55.2.01_nonotes.txt,"In short, I claim that through the figure of the ""Nobody,"" Robinson draws upon graphic satire as a means to connect fashionable sociability with contemporary politics and, thereby, to stage ""a crisis of embodiment"" in which the ills of the nation are imaged through fashionable folly.",0,1,1,0,0,113
b,288,asr.2016.81.1.107_nonotes.txt,Three points in their essay are essential for research on the early origins of adult health.,1,0,0,0,0,114
b,336,pmla.2016.131.5.1299_nonotes.txt,Speculative realism helps explain why the world persistently slips away from world-literary theorists and their critics.,0,1,0,0,0,115
e,258,nlh.47.1.626112_nonotes.txt,"See also Wolfe’s earlier book, Animal Rites: American Culture, the Discourse of Species, and Posthumanist Theory (Chicago: Univ. of Chicago Press, YEAR), where he also engages with this definition of posthumanism.",1,0,0,0,0,116
b,267,modernismmodernity.2016.23.3.555_nonotes.txt,"The form of Negarestani's contentless human is ceaseless revision by reason; ""the selfactualization of reason,"" as the historical project of constructing the human through a series of new commitments, ""coincides with the truth of the inhuman.""",0,1,0,1,0,117
e,273,modernismmodernity.2016.23.1.219_nonotes.txt,"Geographically, this is exactly where Zola begins and ends the second novel of his Rougon-Macquart series, YEAR's La Curée (The Kill).",1,0,0,0,0,118
b,168,nlh.47.1.626117_nonotes.txt,Just how hospitable has Hitchcock scholarship been to women in our postfeminist age?,1,0,0,0,0,119
b,213,modernismmodernity.2016.23.2.443_nonotes.txt,"As one of the architects of modernism, Pearson sought to shift critical attention from the American Renaissance to modernist writers; he increased the exposure of these three women writers in significant ways, thus opening their work to serious critical attention; and he participated in archival projects that provided crucial scholarly tools to the emerging feminist critics.",1,0,0,0,0,120
b,165,sr.55.2.04_nonotes.txt,"Yet in doing this, Bloomfield had to confront the dilemma facing many a laboring-class poet, as Fulford observes in his invaluable analysis.",1,0,0,0,0,121
b,258,pmla.2016.131.2.289_nonotes.txt,The material turn in literary studies has seemed to repudiate those closely linked ideas.,0,1,0,0,0,122
b,261,pmla.2016.131.3.622_nonotes.txt,"The seven questions of this essay explore submission, failed authorship, and the fate of letters in the volatile age of India's independence; they emerge from Narayan's fictional world and circle around the themes of language, colonial education, and narrative form.",1,0,0,0,0,123
b,255,nlh.47.4.643668_nonotes.txt,"It also invites us to ponder how description misbehaves, how it hatches rogue aesthetic plans, how indeed it becomes—through the sumptuous pressure it exerts on what it describes—a type of narration in its own right.",0,1,0,0,0,124
e,210,ci.42.2.684355_nonotes.txt,"If the project of democracy has any ubi consistam, it is precisely that nobody should be excluded from politics due to technical incompetence alone.",0,1,0,0,0,125
b,210,ci.43.1.688306_nonotes.txt,"I understand perfectly well that when Adele says, “Never mind, I’ll find someone like you,” she is hardly shrugging off her loss, declaring her intent to start over, and setting out optimistically on a determined quest for a new partner.",1,0,0,0,0,126
b,261,sn.48.4.02_nonotes.txt,"Kundera worried that he was overly clarifying his language, “that he washed out his [Czech] tongue to be absolutely crystal clear” (Kussi YEAR).",1,0,0,0,0,127
b,270,ahr.2016.121.4.1085_nonotes.txt,He was sure that he would be eaten.,1,0,0,0,0,128
b,303,asr.2016.81.3.447_nonotes.txt,"According to this perspective, workers’ power vis-à-vis capital is the most significant determinant of the inflation rate.",0,1,0,0,0,129
e,177,sr.55.4.03_nonotes.txt,"Coleridgean indeterminacy, I argue, can also help us resist-or at least trouble--the voyeuristic propensities of our contemporary ""wound culture"" (Mark Seltzer's phrase to describe a ""pathological public sphere"" marked by a ""collective gathering around shock, trauma, and the wound"").",0,1,1,0,0,130
e,165,sr.55.2.04_nonotes.txt,"Tim Burke has described how this poem, a self-conscious trek over Romantic ground, attempted to expand Bloomfield's ""centre of gravity"" to encompass the history of the British nation, but critics regarded the work as socially presumptuous and it ended in commercial failure.'",1,0,0,0,0,131
b,273,modernismmodernity.2016.23.1.219_nonotes.txt,"By the beginning of summer, advance tickets were sold out.",1,0,0,0,0,132
e,195,sr.55.3.05_nonotes.txt,"In ""War Matters,"" white Southern prisoners and Southern fugitive slaves cannot be safely situated outside the nation, and nor can the triumphalist New World picturesque of Leutze's sketch assure Hawthorne of a promising future for them within its borders.",1,0,0,0,0,133
e,216,ci.42.3.685604_nonotes.txt,"It is thus in this very different and more productive sense that photography, for Peirce, still qualifies as an objective form of representation.",0,1,0,1,0,134
b,216,ahr.2016.121.3.727_nonotes.txt,The latter was especially possible after the creation of the Congregation of the Propaganda Fide in Rome in the early seventeenth century.,1,0,0,0,0,135
e,219,ci.42.3.685606_nonotes.txt,"What is more, these are often detached, sterile views.",1,0,0,0,0,136
b,336,asr.2016.81.2.347_nonotes.txt,"Since the YEARs, leading U.S. firms have increasingly announced massive downsizing plans in the name of maximizing shareholder value, but observers remain skeptical about how seriously firms take implementation of these plans.",1,0,0,0,0,137
b,300,pmla.2016.131.5.1256_nonotes.txt,The book recurrently argues against polemic while promoting an alternative approach to persuasion.,1,0,0,0,0,138
e,300,nlh.47.1.626114_nonotes.txt,"As I see it, the Romantic movement marked the beginning of the attempt to replace the tale told by the Greek philosophers with a better tale.",1,0,0,0,0,139
e,291,nlh.47.2.631306_nonotes.txt,Artistic fiction is not content with sending us off into another world; it organizes relations with the worlds from which it is detached (and from which it detaches us) that are much more complex.,0,1,0,0,0,140
e,273,modernismmodernity.2016.23.1.219_nonotes.txt,And there can be a downside to collaboration when it literally incorporates.,1,0,0,0,0,141
e,246,pmla.2016.131.2.307_nonotes.txt,"Thus, one might conclude that autistic resonance is like reading but more so.",1,0,0,0,0,142
e,222,nlh.47.2.631303_nonotes.txt,"Or rather, we have always been humanists, alive to the unstateable fullness of our experience and engaged in the project of naming it in criticism.",0,1,0,0,0,143
b,354,asr.2016.81.4.617_nonotes.txt,It is most severe when it reduces the transaction’s usefulness to deceived parties so much that they would not have agreed to its true terms if they had known them ex ante.,1,0,0,0,0,144
b,219,sr.55.2.01_nonotes.txt,Such advertisements more than likely provoked aristocratic ire.,1,0,0,0,0,145
b,303,asr.2016.81.1.85_nonotes.txt,An analysis of last names allows us to explore whether effects of the Americanization of names were due to the benefits of hiding one’s ethnic origins or to a perceived effort to “act American.”,1,0,0,0,0,146
